--***************************************************************************
--*                                                                         *
--*                         Copyright (C) 1987-1995                         *
--*                              by OrCAD, INC.                             *
--*                                                                         *
--*                           All rights reserved.                          *
--*                                                                         *
--***************************************************************************
   
-- Purpose:	  OrCAD VHDL Model Index
-- Version:       v6.0
-- File:	  ALS.LST
-- Resource:	  National Semiconductor, ALS/AS Logic Databook, 1987
-- Key:		  ":part_value   capture_olb  pin_count"

:74ALS879A         TTL  24
:74ALS880         TTL  24
:74ALS880A         TTL  24
:74ALS990   TTL 20
:74ALS991   TTL  20
:74ALS992   TTL  24
:74ALS993   TTL  24
:74ALS994   TTL 24
:74ALS995   TTL 24
:74ALS1000                      TTL     14
:74ALS1000A     TTL  14
:74ALS1002                      TTL     14
:74ALS1002A     TTL  14
:74ALS1003                      TTL     14
:74ALS1003A     TTL  14
:74ALS1004                      TTL     14
:74ALS1004A      TTL  14
:74ALS1005                      TTL     14
:74ALS1008                      TTL     14
:74ALS1008A      TTL  14
:74ALS1010                      TTL     14
:74ALS1010A       TTL  14
:74ALS1011                      TTL     14
:74ALS1011A       TTL  14
:74ALS1020                      TTL     14
:74ALS1020A       TTL  14
:74ALS1032                      TTL     14
:74ALS1032A       TTL  14
:74ALS1034                      TTL     14
:74ALS1035                      TTL     14
:74ALS1240                      TTL     20
:74ALS1241                      TTL     20
:74ALS1242                      TTL     14
:74ALS1243                      TTL     14
:74ALS1244                      TTL     20
:74ALS1244A        TTL  20
:74ALS1245                      TTL     20
:74ALS1245A        TTL  20
:74ALS1638                      TTL     20
:74ALS1639                      TTL     20
:74ALS1640                      TTL     20
:74ALS1640A        TTL  20
:74ALS1641                      TTL     20
:74ALS1642                      TTL     20
:74ALS1643                      TTL     20
:74ALS1644                      TTL     20
:74ALS1645                      TTL     20
:74ALS1645A        TTL  20
:74ALS1804   TTL  20
:74ALS1804A        TTL  20
:74ALS1805   TTL  20
:74ALS1805A        TTL  20
:74ALS1808   TTL 20
:74ALS1808A        TTL  20
:74ALS1832   TTL  20
:74ALS1832A        TTL  20
:74ALS2240   TTL  20
:74ALS2242   TTL  14
:74ALS2540   TTL  20
:74ALS2541   TTL  20
:74ALS8003                      TTL     8
:74ALS29809   TTL1  24
:74ALS29827   TTL  24
:74ALS29828   TTL  24
:74ALS29861   TTL  24
:74ALS29862   TTL  24
:74ALS29863   TTL  24
:74ALS29864   TTL  24

<eof>
